,BJD - 2454833, Corrected Flux
0,2061.30583815,0.921204491
1,2061.32627044,0.914261783
2,2061.34670264,0.907224602
3,2061.36713473,0.900702638
4,2061.38756702,0.896994399
5,2061.40799921,0.894114968
6,2061.4284315,0.892674135
7,2061.48972807,0.968038712
8,2061.51016016,0.972255527
9,2061.53059235,0.976816152
10,2061.55102464,0.979859029
11,2061.57145683,0.981920202
12,2061.59188891,0.98334497
13,2061.6123212,0.984497952
14,2061.63275339,0.984887687
15,2061.65318547,0.986322373
16,2061.67361776,0.9899885
17,2061.69404995,0.995822937
18,2061.71448213,1.000139938
19,2061.73491431,1.004638964
20,2061.7553465,1.010389692
21,2061.77577868,1.01720022
22,2061.79621086,1.023182374
23,2061.81664305,1.028795185
24,2061.83707523,1.03432733
25,2061.85750741,1.037287295
26,2061.87793949,1.03860777
27,2061.89837177,1.040590072
28,2061.91880395,1.043404802
29,2061.93923613,1.046307865
30,2061.95966831,1.049512097
31,2061.98010049,1.0515002
32,2062.00053277,1.051836423
33,2062.02096484,1.05290434
34,2062.04139702,1.05381829
35,2062.0618293,1.05464348
36,2062.08226137,1.055367045
37,2062.10269355,1.055109926
38,2062.12312583,1.054284347
39,2062.143558,1.054550916
40,2062.16399008,1.053591864
41,2062.2252866,1.056554118
42,2062.24571887,1.056481691
43,2062.26615104,1.055842129
44,2062.28658311,1.05584499
45,2062.30701538,1.05562721
46,2062.32744756,1.056217757
47,2062.34787983,1.054733544
48,2062.3683119,1.053346294
49,2062.38874407,1.054195161
50,2062.40917634,1.053666235
51,2062.42960841,1.052036572
52,2062.45004057,1.051059214
53,2062.47047274,1.050838474
54,2062.49090491,1.050310141
55,2062.51133708,1.049082598
56,2062.53176924,1.047784621
57,2062.55220141,1.047196126
58,2062.57263357,1.046873518
59,2062.59306574,1.045100946
60,2062.6134979,1.043670759
61,2062.63393007,1.042916313
62,2062.65436233,1.041647938
63,2062.67479439,1.041615473
64,2062.69522666,1.041161958
65,2062.71565882,1.03726889
66,2062.73609088,1.031654106
67,2062.75652314,1.025450467
68,2062.7769553,1.020817901
69,2062.79738736,1.013128563
70,2062.81781963,1.011913518
71,2062.83825179,1.011844422
72,2062.85868384,1.011593588
73,2062.8791161,1.015276247
74,2062.89954826,1.012095762
75,2062.91998032,1.01036067
76,2062.94041258,1.009392778
77,2062.96084473,1.008774648
78,2062.98127689,1.008714809
79,2063.00170905,1.010230545
80,2063.0221412,1.010241882
81,2063.04257336,1.009848378
82,2063.06300551,1.009690205
83,2063.08343767,1.009459435
84,2063.10386992,1.009228202
85,2063.12430207,1.008815308
86,2063.14473413,1.008615179
87,2063.16516638,1.008519509
88,2063.18559853,1.008924617
89,2063.20603058,1.009336505
90,2063.22646284,1.00958304
91,2063.24689489,1.009943236
92,2063.26732704,1.01156023
93,2063.28775929,1.012528644
94,2063.30819134,1.011236095
95,2063.32862349,1.01170067
96,2063.34905573,1.011658139
97,2063.36948778,1.011055645
98,2063.38991993,1.010419967
99,2063.41035218,1.009558979
100,2063.43078422,1.009009013
101,2063.45121637,1.008476876
102,2063.47164862,1.007225536
103,2063.49208076,1.006200958
104,2063.51251291,1.004576505
105,2063.53294505,1.002663052
106,2063.5533772,1.000729843
107,2063.57380934,0.998239753
108,2063.59424148,0.995488622
109,2063.61467363,0.991024902
110,2063.63510587,0.987297309
111,2063.69640229,0.988858612
112,2063.71683433,0.98825751
113,2063.73726647,0.987392305
114,2063.75769871,0.985362421
115,2063.77813075,0.982468233
116,2063.79856289,0.978434088
117,2063.81899513,0.974093428
118,2063.83942717,0.969792431
119,2063.85985931,0.966435542
120,2063.88029154,0.963933091
121,2063.90072358,0.95933135
122,2063.92115582,0.949790024
123,2063.94158795,0.941724318
124,2063.96201999,0.930980075
125,2063.98245222,0.926377322
126,2064.00288436,0.924103386
127,2064.02331639,0.920797755
128,2064.04374862,0.917497154
129,2064.06418076,0.915531901
130,2064.08461279,0.914102484
131,2064.10504502,0.913836265
132,2064.12547715,0.914515073
