,BJD - 2454833, Corrected Flux
0,2061.3054591329997,1.0181214440000002
1,2061.325891313,1.0156585340000002
2,2061.3463233929997,1.015462975
3,2061.366755372,1.015905482
4,2061.387187551,1.0151931440000002
5,2061.407619629,1.016513229
6,2061.428051808,1.016159523
7,2061.489348039,1.016670601
8,2061.509780015,1.01857035
9,2061.530212092,1.019127469
10,2061.5506442670003,1.018891566
11,2061.571076342,1.019423175
12,2061.5915083170003,1.0184136670000001
13,2061.611940491,1.020604591
14,2061.632372565,1.02059461
15,2061.652804539,1.02055472
16,2061.6732367120003,1.021005077
17,2061.693668785,1.020605483
18,2061.714100857,1.021851786
19,2061.7345329279997,1.021896093
20,2061.754965,1.0240318259999999
21,2061.775397071,1.0228703259999998
22,2061.795829142,1.023097978
23,2061.816261211,1.0209608190000001
24,2061.836693281,1.020686811
25,2061.857125351,1.020910613
26,2061.87755732,1.019925569
27,2061.897989488,1.021381686
28,2061.918421556,1.020777392
29,2061.938853624,1.019911453
30,2061.959285691,1.019237708
31,2061.979717758,1.019288382
32,2062.0001499239997,1.021000772
33,2062.02058189,1.020888838
34,2062.041013956,1.023240557
35,2062.0614461210002,1.024495845
36,2062.081878086,1.024281354
37,2062.102310151,1.02423051
38,2062.122742314,1.024897532
39,2062.143174378,1.025206982
40,2062.163606341,1.025241139
41,2062.224902528,1.036744686
42,2062.24533469,1.036589816
43,2062.2657667510002,1.038526819
44,2062.286198711,1.0393428120000001
45,2062.306630872,1.0401773109999999
46,2062.327062931,1.040663863
47,2062.347495091,1.0420122
48,2062.36792705,1.045686746
49,2062.388359109,1.045818215
50,2062.408791267,1.045519351
51,2062.429223224,1.048942563
52,2062.449655282,1.049013037
53,2062.4700873389997,1.048583043
54,2062.490519395,1.046837345
55,2062.510951452,1.047340162
56,2062.531383507,1.048661436
57,2062.5518155620002,1.049411947
58,2062.572247617,1.052447952
59,2062.592679672,1.055936965
60,2062.613111726,1.057393888
61,2062.63354378,1.053928964
62,2062.653975933,1.050831466
63,2062.674407886,1.050576838
64,2062.694840039,1.05271722
65,2062.715272091,1.054690352
66,2062.735704042,1.054152588
67,2062.7561361939997,1.04940035
68,2062.776568244,1.047221567
69,2062.797000195,1.0460442090000002
70,2062.817432345,1.049699774
71,2062.837864395,1.0526542220000001
72,2062.858296344,1.056334979
73,2062.878728493,1.05874767
74,2062.899160541,1.058266581
75,2062.919592489,1.0545400040000001
76,2062.940024637,1.05502806
77,2062.960456684,1.054624303
78,2062.980888731,1.052577292
79,2063.0013207770003,1.053862618
80,2063.021752824,1.056095155
81,2063.042184869,1.054955555
82,2063.062616914,1.053335502
83,2063.083048959,1.054344708
84,2063.103481103,1.050997022
85,2063.123913147,1.050617905
86,2063.144345091,1.048489343
87,2063.1647772339998,1.04685273
88,2063.185209277,1.044246671
89,2063.205641219,1.041378913
90,2063.226073361,1.038162161
91,2063.246505303,1.0347274290000001
92,2063.266937344,1.031319331
93,2063.287369485,1.030995003
94,2063.307801425,1.028670444
95,2063.328233465,1.0290644409999998
96,2063.348665605,1.026881402
97,2063.369097544,1.025867874
98,2063.3895295820003,1.024272117
99,2063.409961721,1.024224815
100,2063.430393659,1.02259289
101,2063.4508256960003,1.02172849
102,2063.471257833,1.022941025
103,2063.49168987,1.021659227
104,2063.512121906,1.019248925
105,2063.532553942,1.0198286909999998
106,2063.552985978,1.021748664
107,2063.573418013,1.022469635
108,2063.5938500479997,1.019273151
109,2063.614282082,1.016788429
110,2063.6347142160002,1.0152965729999999
111,2063.696010315,1.019649384
112,2063.716442248,1.0184333079999999
113,2063.73687428,1.016862287
114,2063.757306411,1.016544794
115,2063.7777383420002,1.016451047
116,2063.7981703729997,1.0151682579999999
117,2063.818602503,1.016493211
118,2063.839034433,1.015431582
119,2063.859466463,1.013833028
120,2063.8798985920002,1.011944641
121,2063.900330521,1.013587056
122,2063.920762649,1.0154086820000001
123,2063.941194677,1.019510475
124,2063.961626604,1.022079333
125,2063.982058732,1.023240165
126,2064.002490758,1.027290192
127,2064.022922685,1.0318791379999999
128,2064.043354811,1.037506901
129,2064.063786837,1.038708642
130,2064.084218762,1.039767629
131,2064.104650886,1.0391439709999999
132,2064.125082911,1.037347391
133,2064.554155332,1.014127462
134,2064.5745874470003,1.013281475
135,2064.595019463,1.011799996
136,2064.615451377,1.009873493
137,2064.635883492,1.008502683
138,2064.6563155060003,1.004027679
139,2064.738043459,0.99817492
140,2064.758475571,0.995146118
141,2064.778907483,0.997344247
142,2064.799339594,0.9995433140000001
143,2064.819771605,1.001795895
144,2064.840203616,1.001625418
145,2064.860635626,0.998239118
146,2064.921931655,0.993021825
147,2064.942363664,0.995252345
148,2064.962795671,0.9953994140000001
149,2064.983227779,0.99481279
150,2065.003659687,0.998469342
151,2065.024091694,1.002626269
152,2065.044523801,1.006728593
153,2065.064955707,1.004827769
154,2065.085387713,1.00752068
155,2065.105819819,1.0105750690000002
156,2065.1262517239998,1.013271755
157,2065.146683729,1.014406063
158,2065.167115833,1.017442937
159,2065.187547737,1.018136972
160,2065.207979841,1.018402431
161,2065.2284118439998,1.0185414320000001
162,2065.248843747,1.0184456709999998
163,2065.2692758489998,1.019542393
164,2065.289707851,1.021847474
165,2065.310139853,1.0230598929999999
166,2065.330571855,1.025203018
167,2065.351003855,1.02565523
168,2065.371435856,1.024124129
169,2065.391867856,1.02682352
170,2065.412299856,1.028591722
171,2065.432731855,1.030798918
172,2065.4531638539997,1.032716949
173,2065.473595853,1.035649903
174,2065.494027751,1.03566083
175,2065.514459849,1.036051957
176,2065.534891847,1.036794662
177,2065.555323743,1.036992221
178,2065.57575584,1.037594062
179,2065.596187836,1.039485633
180,2065.657483823,1.0240261609999999
181,2065.677915918,1.025115512
182,2065.698347812,1.024359285
183,2065.718779806,1.02320972
184,2065.7392119,1.025679275
185,2065.7596437929997,1.0269193909999998
186,2065.780075786,1.029527377
187,2065.8005078779997,1.032153366
188,2065.82093987,1.0314607
189,2065.841371762,1.0310947240000001
190,2065.861803854,1.030156493
191,2065.8822358439998,1.028888565
192,2065.902667735,1.027859799
193,2065.923099825,1.0256700779999999
194,2065.943531815,1.0250118129999999
195,2065.963963704,1.025006404
196,2065.9843957939997,1.025321298
197,2066.025259671,1.02561038
198,2066.045691759,1.025323623
199,2066.066123746,1.0266170959999998
200,2066.0865558329997,1.025493524
201,2066.147851692,1.0188249409999999
202,2066.168283678,1.019657638
203,2066.188715663,1.019636826
204,2066.209147648,1.020063558
205,2066.229579632,1.019084838
206,2066.250011616,1.01716326
207,2066.2704436,1.017897133
208,2066.290875583,1.018769987
209,2066.3113075670003,1.023897598
210,2066.331739649,1.020089869
211,2066.393035594,1.0114354079999999
212,2066.4134674760003,1.010967706
213,2066.433899456,1.011387289
214,2066.454331537,1.009815044
215,2066.4747634170003,1.009874153
216,2066.495195396,1.0084007879999999
217,2066.515627476,1.0070360090000001
218,2066.536059354,1.005588268
219,2066.556491433,1.00496649
220,2066.5769234110003,1.004924452
221,2066.597355288,1.003272478
222,2066.617787366,1.002310975
223,2066.638219343,1.004457241
224,2066.658651319,1.004182935
225,2066.679083295,1.00607135
226,2066.699515271,1.005511401
227,2066.719947247,1.005636267
228,2066.7403792220002,1.005694063
229,2066.760811196,1.006025961
230,2066.781243171,1.006281161
231,2066.801675245,1.0060550990000001
232,2066.822107118,1.00785762
233,2066.862971064,1.000223111
234,2066.8834030370003,1.0038117009999998
235,2066.903835009,1.007526662
236,2066.92426708,1.007479732
237,2066.944698952,1.007754169
238,2066.965130823,1.009360876
239,2066.985562893,1.011254163
240,2067.005994863,1.014230517
241,2067.026426934,1.017403124
242,2067.046858803,1.020324026
243,2067.067290772,1.02019802
244,2067.08772284,1.021829525
245,2067.108154709,1.02123334
246,2067.128586677,1.018054959
247,2067.149018744,1.017788992
248,2067.169450712,1.018122851
249,2067.189882579,1.019474035
250,2067.210314645,1.019419019
251,2067.230746611,1.019666158
252,2067.251178477,1.017484859
253,2067.271610542,1.016955754
254,2067.292042507,1.016565443
255,2067.312474372,1.01286729
256,2067.3533384,1.011930524
257,2067.373770264,1.0128884459999998
258,2067.394202327,1.013124992
259,2067.41463429,1.0130408929999999
260,2067.435066152,1.011262169
261,2067.455498214,1.010971865
262,2067.475930176,1.01228028
263,2067.496362237,1.012465205
264,2067.516794098,1.013674382
265,2067.5372260589997,1.013990055
266,2067.557658119,1.012698342
267,2067.5780899789997,1.013951598
268,2067.598521938,1.01537563
