,BJD - 2454833, Corrected Flux
0,2061.3058333,1.022857618
1,2061.32626559,1.023109908
2,2061.34669778,1.022803433
3,2061.36712987,1.021690438
4,2061.38756216,1.020027671
5,2061.40799435,1.0188239
6,2061.42842664,1.019911138
7,2061.4897232,1.029935232
8,2061.51015529,1.030668739
9,2061.53058747,1.030581454
10,2061.55101976,1.031315655
11,2061.57145194,1.029458666
12,2061.59188403,1.025576465
13,2061.61231631,1.021589006
14,2061.6327485,1.018286992
15,2061.65318058,1.017303918
16,2061.67361286,1.014385102
17,2061.69404505,1.00771386
18,2061.71447723,1.001834656
19,2061.73490941,0.995402675
20,2061.75534159,0.987536337
21,2061.77577377,0.978464257
22,2061.81663813,0.974682587
23,2061.83707031,0.976675598
24,2061.85750249,0.980572584
25,2061.87793457,0.98844766
26,2061.89836685,0.995945411
27,2061.91879902,1.00230144
28,2061.9392312,1.008699514
29,2061.95966338,1.013234516
30,2061.98009555,1.017619475
31,2062.00052783,1.021775166
32,2062.0209599,1.025471244
33,2062.04139208,1.029407013
34,2062.06182435,1.033039662
35,2062.08225643,1.035428339
36,2062.1026886,1.036698975
37,2062.12312087,1.036934421
38,2062.14355305,1.037090996
39,2062.22528163,1.034717886
40,2062.2457139,1.035074402
41,2062.26614607,1.035324408
42,2062.28657814,1.035393831
43,2062.30701041,1.035423793
44,2062.32744258,1.036538023
45,2062.34787485,1.03572878
46,2062.36830691,1.035276978
47,2062.38873908,1.035915576
48,2062.42960342,1.036660199
49,2062.45003558,1.036148761
50,2062.47046775,1.036881916
51,2062.49089991,1.036353811
52,2062.51133208,1.036826502
53,2062.53176424,1.036653654
54,2062.5521964,1.036451988
55,2062.57262857,1.037140336
56,2062.59306073,1.037507186
57,2062.61349289,1.038346398
58,2062.63392505,1.037467658
59,2062.65435731,1.037847741
60,2062.67478937,1.037858019
61,2062.69522164,1.038426982
62,2062.71565379,1.038257755
63,2062.73608585,1.037463128
64,2062.75651811,1.037007817
65,2062.77695027,1.03573102
66,2062.79738233,1.034212779
67,2062.81781459,1.034484197
68,2062.83824675,1.035333902
69,2062.8586788,1.035147642
70,2062.87911106,1.03548875
71,2062.91997527,1.036801825
72,2062.94040752,1.034795032
73,2062.96083968,1.033646895
74,2062.98127183,1.033103026
75,2063.00170399,1.032473083
76,2063.02213614,1.031021457
77,2063.04256829,1.030669541
78,2063.06300045,1.031464188
79,2063.0834326,1.031548563
80,2063.10386485,1.031965326
81,2063.124297,1.030502613
82,2063.14472905,1.030417113
83,2063.1651613,1.031228078
84,2063.18559345,1.031265616
85,2063.2060255,1.030988846
86,2063.22645775,1.030663664
87,2063.2468898,1.030602071
88,2063.26732194,1.030148862
89,2063.28775419,1.028779483
90,2063.30818624,1.028696192
91,2063.32861839,1.030153442
92,2063.34905063,1.029216517
93,2063.36948268,1.028121331
94,2063.38991482,1.027770321
95,2063.41034707,1.026605644
96,2063.43077911,1.027296658
97,2063.45121126,1.028166689
98,2063.4716435,1.027481078
99,2063.49207564,1.028299897
100,2063.51250778,1.027817801
101,2063.53293993,1.028394861
102,2063.55337207,1.02673151
103,2063.57380421,1.025757741
104,2063.59423635,1.024504217
