,BJD - 2454833, Corrected Flux
0,2061.30571928,0.996807077
1,2061.32615153,1.000662529
2,2061.34658368,0.99999001
3,2061.36701573,1.001106388
4,2061.38744797,1.002813821
5,2061.40788012,1.003684265
6,2061.42831237,1.006310162
7,2061.4896088,1.02390025
8,2061.51004085,1.023342665
9,2061.53047299,1.022942999
10,2061.55090523,1.024911493
11,2061.57133738,1.024793668
12,2061.59176942,1.025544881
13,2061.61220166,1.026323293
14,2061.6326338,1.024962218
15,2061.65306585,1.02423418
16,2061.67349809,1.02377989
17,2061.69393023,1.02464325
18,2061.71436237,1.025277587
19,2061.73479451,1.023876519
20,2061.75522665,1.02417084
21,2061.77565878,1.023922736
22,2061.79609092,1.024887939
23,2061.81652306,1.025737102
24,2061.8369552,1.025903053
25,2061.85738734,1.025468367
26,2061.87781937,1.025700913
27,2061.89825161,1.025083395
28,2061.91868374,1.025960769
29,2061.93911588,1.024555165
30,2061.95954801,1.023865771
31,2061.97998015,1.024505108
32,2062.00041238,1.024069662
33,2062.02084441,1.025092674
34,2062.04127655,1.024966174
35,2062.06170878,1.025413915
36,2062.08214081,1.032028047
37,2062.10257294,1.052668637
38,2062.12300518,1.059804528
39,2062.14343731,1.147686595
40,2062.16386934,1.125391713
41,2062.22516572,1.040175332
42,2062.24559795,1.030860608
43,2062.26603008,1.027331652
44,2062.28646211,1.024999442
45,2062.30689434,1.021362976
46,2062.32732646,1.02382238
47,2062.34775869,1.02263812
48,2062.38862284,1.02008828
49,2062.40905507,1.01891929
50,2062.42948709,1.017588072
51,2062.44991922,1.018035569
52,2062.49078346,1.017969076
53,2062.51121559,1.019572408
54,2062.53164771,1.018668998
55,2062.55207983,1.018277408
56,2062.57251195,1.018901361
57,2062.59294407,1.020599524
58,2062.6133762,1.021237758
59,2062.63380831,1.019715062
60,2062.65424054,1.022500527
61,2062.67467256,1.022022895
62,2062.69510477,1.021240046
63,2062.71553689,1.021054306
64,2062.73596891,1.019685607
65,2062.75640113,1.019392775
66,2062.77683325,1.01736153
67,2062.79726526,1.016989246
68,2062.81769748,1.018914211
69,2062.83812959,1.017733845
70,2062.85856161,1.014994457
71,2062.87899383,1.014985908
72,2062.89942594,1.013135598
73,2062.91985796,1.011103524
74,2062.94029017,1.009542628
75,2062.96072228,1.005688197
76,2062.98115439,1.00450614
77,2063.00158651,1.004257405
78,2063.02201862,1.004200394
79,2063.04245073,1.007084473
80,2063.06288284,1.008477745
81,2063.08331495,1.010933559
82,2063.10374716,1.011814234
83,2063.12417927,1.013219784
84,2063.14461128,1.02056739
85,2063.16504349,1.021060989
86,2063.1854756,1.02086693
87,2063.20590761,1.021778157
88,2063.22633982,1.021792736
89,2063.24677182,1.023893253
90,2063.26720393,1.025840908
91,2063.28763614,1.025193984
92,2063.30806814,1.028639039
93,2063.32850025,1.027912846
94,2063.34893246,1.027932029
95,2063.36936446,1.028273005
96,2063.38979656,1.029765062
97,2063.41022877,1.02761488
98,2063.43066077,1.029593701
99,2063.45109287,1.029705537
100,2063.47152508,1.028799186
101,2063.49195718,1.030022546
102,2063.51238928,1.029940803
103,2063.53282138,1.029416658
104,2063.55325348,1.029758345
105,2063.57368558,1.028795559
106,2063.59411768,1.026262833
107,2063.61454978,1.026856515
108,2063.63498198,1.025727947
109,2063.69627828,1.031353987
110,2063.71671028,1.033102497
111,2063.73714237,1.035485905
112,2063.75757457,1.03706272
113,2063.77800656,1.037886291
114,2063.79843866,1.038943571
115,2063.81887086,1.038606603
116,2063.83930285,1.038056661
117,2063.85973495,1.037936768
118,2063.88016714,1.034519066
119,2063.90059913,1.034195727
120,2063.92103133,1.033142362
121,2063.94146342,1.030056099
122,2063.96189541,1.028883714
123,2063.9823276,1.033483147
124,2064.0027597,1.0366321
125,2064.02319169,1.032460095
126,2064.04362388,1.026461892
127,2064.06405597,1.023676811
128,2064.08448796,1.022479981
129,2064.10492015,1.023421587
130,2064.12535224,1.02700795
131,2064.55442601,1.027668611
132,2064.57485819,1.023300058
133,2064.59529027,1.021822632
134,2064.61572225,1.019850396
135,2064.63615442,1.018896487
136,2064.6565865,1.020693924
137,2064.73831471,1.025595613
138,2064.75874689,1.02607754
139,2064.77917886,1.025229763
140,2064.79961104,1.019356162
141,2064.82004311,1.017315679
142,2064.84047519,1.013233343
143,2064.86090726,1.007579715
144,2064.92220348,1.005168103
145,2064.94263555,1.00721006
146,2064.96306762,1.005859913
147,2064.9834998,1.008061907
148,2065.00393177,1.011503999
149,2065.02436384,1.010460846
150,2065.04479601,1.005739063
151,2065.06522798,1.003764444
152,2065.08566005,1.001295529
153,2065.10609221,1.001882391
154,2065.12652418,0.998989506
155,2065.14695625,0.997262626
156,2065.16738842,0.995928621
157,2065.18782039,0.993368198
158,2065.20825255,0.990081186
159,2065.22868462,0.985841506
160,2065.24911659,0.976957032
161,2065.26954875,0.970022388
162,2065.28998082,0.964680387
163,2065.31041288,0.958084216
164,2065.33084495,0.949853303
165,2065.35127701,0.952137941
166,2065.37170907,0.955791975
167,2065.39214114,0.959975605
168,2065.4125732,0.96203447
169,2065.43300526,0.972635369
170,2065.45343732,0.978416141
171,2065.47386938,0.981196378
172,2065.49430134,0.98234513
173,2065.51473351,0.982051731
174,2065.53516557,0.982468573
175,2065.55559752,0.978841235
176,2065.57602968,0.977638605
177,2065.59646174,0.976288048
178,2065.65775792,0.971064551
179,2065.67819008,0.972162277
180,2065.69862203,0.968474606
181,2065.71905409,0.965094922
182,2065.73948624,0.95933747
183,2065.7599182,0.955121334
184,2065.78035026,0.951479757
185,2065.80078241,0.94626764
186,2065.82121446,0.941496566
187,2065.84164642,0.939043493
188,2065.86207857,0.944660071
189,2065.88251063,0.951428526
190,2065.90294258,0.958726612
191,2065.92337473,0.963317286
192,2065.94380678,0.972985856
193,2065.96423873,0.970462734
194,2065.98467089,0.960768703
195,2066.00510294,0.946916318
196,2066.02553489,0.9341845
197,2066.04596704,0.932019042
198,2066.06639908,0.931797587
199,2066.08683123,0.936798461
