,BJD - 2454833, Corrected Flux
0,2061.30588108,1.1271886
1,2061.32631339,1.126224521
2,2061.34674559,1.126394103
3,2061.3671777,1.124251278
4,2061.38761,1.126309693
5,2061.40804221,1.127025524
6,2061.42847451,1.127526102
7,2061.48977113,1.098299129
8,2061.51020323,1.096988214
9,2061.55106773,1.092744718
10,2061.57149993,1.093049075
11,2061.59193203,1.092240007
12,2061.61236433,1.091867321
13,2061.63279653,1.090943636
14,2061.65322863,1.091321463
15,2061.67366093,1.094001754
16,2061.69409313,1.088432679
17,2061.71452533,1.086213748
18,2061.73495753,1.08725671
19,2061.75538972,1.085033593
20,2061.77582192,1.084320185
21,2061.79625412,1.081612822
22,2061.83711851,1.075109894
23,2061.8575507,1.072333719
24,2061.8779828,1.068641661
25,2061.89841509,1.064488691
26,2061.91884729,1.060307341
27,2061.93927948,1.056172241
28,2061.95971167,1.050030893
29,2061.98014386,1.046750937
30,2062.00057616,1.042949136
31,2062.02100825,1.038906621
32,2062.04144044,1.037980456
33,2062.06187273,1.034232387
34,2062.08230482,1.029508817
35,2062.10273701,1.026739324
36,2062.1231693,1.024493872
37,2062.14360148,1.022930357
38,2062.16403357,1.021058444
39,2062.22533013,1.01765218
40,2062.24576242,1.019447069
41,2062.2661946,1.018393449
42,2062.28662669,1.018031401
43,2062.30705898,1.019235359
44,2062.32749116,1.017380202
45,2062.34792344,1.01677176
46,2062.36835553,1.016605152
47,2062.38878771,1.012550508
48,2062.40921999,1.009059854
49,2062.42965207,1.007711475
50,2062.45008426,1.004791567
51,2062.47051644,1.004055546
52,2062.49094862,1.001353326
53,2062.5113808,0.99917101
54,2062.55224516,0.99719513
55,2062.57267734,0.997006114
56,2062.59310951,0.995901044
57,2062.61354169,0.995221479
58,2062.63397387,0.992249269
59,2062.65440615,0.990480386
60,2062.67483822,0.989848192
61,2062.6952705,0.989727324
62,2062.71570268,0.989895639
63,2062.73613475,0.988714824
64,2062.75656703,0.989143491
65,2062.7769992,0.987451909
66,2062.79743127,0.985866917
67,2062.81786355,0.981851202
68,2062.83829572,0.981074
69,2062.85872779,0.978796122
70,2062.87916007,0.978222583
71,2062.89959224,0.977364293
72,2062.92002431,0.978378244
73,2062.96088875,0.976664026
74,2062.98132092,0.974665534
75,2063.00175309,0.973450944
76,2063.02218526,0.974782069
77,2063.04261743,0.9783871
78,2063.06304959,0.978992913
79,2063.08348176,0.977994772
80,2063.10391403,0.97609191
81,2063.1243462,0.975764036
82,2063.14477826,0.974670184
83,2063.16521053,0.97278665
84,2063.18564269,0.972354564
85,2063.20607476,0.971673749
86,2063.22650702,0.97128705
87,2063.24693909,0.971171017
88,2063.26737125,0.969355822
89,2063.28780351,0.969707338
90,2063.30823558,0.971118084
91,2063.32866774,0.972422372
92,2063.3491,0.975928129
93,2063.36953206,0.974732958
94,2063.38996422,0.976753488
95,2063.41039648,0.974632861
96,2063.43082854,0.970974927
97,2063.4512607,0.969648599
98,2063.47169296,0.966668789
99,2063.49212512,0.9613188
100,2063.51255728,0.960624258
101,2063.53298944,0.959726928
102,2063.55342159,0.959252761
103,2063.57385375,0.959745893
104,2063.59428591,0.95919188
105,2063.61471806,0.959549482
106,2063.63515032,0.961308593
107,2063.69644678,0.963445919
108,2063.71687883,0.960789393
109,2063.75774324,0.958189159
110,2063.77817529,0.960787494
111,2063.79860745,0.96243113
112,2063.8190397,0.963157937
113,2063.83947175,0.965535119
114,2063.8599039,0.967860587
115,2063.88033615,0.967626879
116,2063.92120045,0.961113139
117,2063.9416326,0.960805904
118,2063.96206464,0.96544841
119,2063.98249689,0.968020937
120,2064.00292904,0.972956247
121,2064.02336109,0.970374851
122,2064.04379333,0.969802266
123,2064.06422548,0.969561071
124,2064.08465752,0.971333042
125,2064.10508977,0.970790998
126,2064.12552191,0.969562987
127,2064.55459685,0.973821698
128,2064.57502909,0.970685021
129,2064.59546122,0.967185596
130,2064.61589326,0.962112542
131,2064.63632549,0.956813363
132,2064.65675762,0.952429018
133,2064.73848605,0.939013635
134,2064.75891828,0.941807928
135,2064.77935032,0.941447495
136,2064.79978255,0.940602048
137,2064.82021467,0.938810433
138,2064.8406468,0.937670232
139,2064.86107893,0.936093232
140,2064.92237532,0.943141069
141,2064.94280744,0.942478294
142,2064.9836718,0.932250113
143,2065.00410382,0.930461196
144,2065.02453595,0.929750398
145,2065.04496817,0.925934756
146,2065.0654002,0.918055635
147,2065.08583232,0.910802714
148,2065.10626455,0.90898999
149,2065.12669657,0.906852445
150,2065.14712869,0.910692602
151,2065.16756092,0.915888961
152,2065.18799294,0.920245779
153,2065.20842516,0.919413328
154,2065.22885728,0.920319597
155,2065.2492893,0.920523686
156,2065.26972152,0.919514339
157,2065.29015364,0.916825255
158,2065.31058576,0.910902558
159,2065.33101788,0.906551034
160,2065.35145,0.902966107
161,2065.37188212,0.902015983
162,2065.39231423,0.897758455
163,2065.41274635,0.891224771
164,2065.43317847,0.886747752
165,2065.45361058,0.879793834
166,2065.4740427,0.874545268
167,2065.49447471,0.868720468
168,2065.51490693,0.861232866
169,2065.53533904,0.856875555
170,2065.55577106,0.851074501
