,EPIC637
2060.28411109,6400.14569799
2060.30454336,6380.20313971
2060.32497553,6467.79240814
2060.3454076,6413.15234259
2060.36583987,6411.69634414
2060.38627204,6358.76672837
2060.40670421,6488.5705222
2060.42713637,6274.57594962
2060.44756854,6508.54968892
2060.46800071,6547.77529535
2060.48843288,6476.40054573
2060.50886504,6505.2349761
2060.52929721,6405.20036654
2060.54972937,6537.58152735
2060.57016154,6456.06143274
2060.5905938,6442.38971388
2060.61102587,6223.18864634
2060.63145803,6028.94595871
2060.6518903,5736.85456971
2060.67232236,5538.22250387
2060.69275462,5224.23270436
2060.71318678,5332.64960682
2060.73361884,5252.24533396
2060.7540511,5230.36642107
2060.77448326,5375.2634459
2060.79491533,5202.32076074
2060.81534758,5086.82707352
2060.83577974,4628.62312886
2060.8562118,4386.90904896
2060.87664406,4197.89728522
2060.89707622,4268.91983732
2060.91750848,4587.66864508
2060.93794053,5230.87332373
2060.95837269,5638.06130286
2060.97880495,6085.83318656
2060.999237,6485.97892911
2061.01966916,6596.55179951
2061.04010141,6626.81510337
2061.06053357,6780.14873678
2061.08096562,6901.82118471
2061.10139787,6938.99669957
2061.12182993,6930.2978758
2061.14226218,6855.60715361
2061.16269433,6719.11043243
2061.18312638,6711.1721573
2061.20355863,6780.62033596
2061.22399078,6613.49500997
2061.24442283,6842.29949902
2061.26485508,6900.26097737
2061.28528723,10410.8797739
2061.30571928,17825.608041
2061.32615153,17875.3496897
2061.34658368,17879.4899653
2061.36701573,17869.0848173
2061.38744797,17912.1926471
2061.40788012,17932.1488972
2061.42831237,17957.9994386
2061.44874441,17314.1889539
2061.46917656,17787.7814564
2061.4896088,17786.7314032
2061.51004085,17758.8514235
2061.53047299,17767.0399911
2061.55090523,17773.7773962
2061.57133738,17763.9797957
2061.59176942,17771.067372
2061.61220166,17782.6852668
2061.6326338,17758.0190992
2061.65306585,17749.9251389
2061.67349809,17743.5573185
2061.69393023,17749.2835606
2061.71436237,17743.4173899
2061.73479451,17725.8412644
2061.75522665,17731.7395764
2061.77565878,17724.564717
2061.79609092,17735.9560182
2061.81652306,17749.3350896
2061.8369552,17745.0992494
2061.85738734,17733.2206908
2061.87781937,17732.4931976
2061.89825161,17721.3334591
2061.91868374,17717.0408438
2061.93911588,17701.0422294
2061.95954801,17715.2703908
2061.97998015,17716.3723035
2062.00041238,17716.8961476
2062.02084442,17706.5781352
2062.04127655,17704.3588082
2062.06170878,17713.3073066
2062.08214081,17831.3679849
2062.10257294,18198.8195118
2062.12300518,18335.5976821
2062.14343731,19838.4310955
2062.16386934,19450.1088808
2062.18430157,
2062.2047337,18553.5217217
2062.22516573,18238.1245116
2062.24559795,18055.3483838
2062.26603008,17974.7174357
2062.28646211,17910.6723276
2062.30689434,17857.9353372
2062.32732646,17814.0431702
2062.34775869,17806.9820955
2062.36819072,17775.3392481
2062.38862284,17774.160503
2062.40905507,17768.9823169
2062.42948709,17763.4751479
2062.44991922,17781.4456596
2062.47035134,17762.9779229
2062.49078346,17757.6075507
2062.51121559,17778.0662365
2062.53164771,17784.1714935
2062.55207983,17778.2784697
2062.57251195,17795.1369242
2062.59294407,17842.5301502
2062.61337619,17835.6236002
