,EPIC153
2060.28426994,6223.24290522
2060.30470227,6236.08938555
2060.3251345,6259.45761
2060.34556663,6282.84964868
2060.36599896,6256.7646707
2060.38643119,6271.75437121
2060.40686341,6281.75918185
2060.42729564,6295.24124766
2060.44772787,6253.90192254
2060.4681601,6266.45090737
2060.48859232,6273.08720203
2060.50902455,6269.10746551
2060.52945677,6262.6055069
2060.549889,6268.05374754
2060.57032122,6269.41237352
2060.59075354,6255.31394026
2060.61118567,6276.814955
2060.63161789,6258.44243941
2060.65205021,6259.63219905
2060.67248233,6266.89231034
2060.69291466,6266.33651043
2060.71334688,6278.7792569
2060.733779,6238.37867737
2060.75421132,6232.80045894
2060.77464354,6226.53413457
2060.79507566,6240.4968025
2060.81550797,6219.87640872
2060.83594019,6239.01476603
2060.85637231,6242.00924586
2060.87680463,6218.36744116
2060.89723684,6252.5241964
2060.91766916,6192.71512346
2060.93810128,6226.38333135
2060.95853349,6216.28653236
2060.97896581,6185.14705008
2060.99939792,6191.49712958
2061.01983013,6155.65306595
2061.04026245,6207.45862047
2061.06069466,6196.75675806
2061.08112677,6170.95602513
2061.10155908,6160.68268451
2061.1219912,6143.25710795
2061.14242351,6153.66074797
2061.16285572,6122.53288084
2061.18328783,6095.99141744
2061.20372014,6102.77441839
2061.22415235,6099.56481906
2061.24458446,6058.41599417
2061.26501676,6067.07798849
2061.28544897,8326.5434646
2061.30588108,13428.3935365
2061.32631339,13380.31626
2061.34674559,13405.3141148
2061.3671777,13349.7346367
2061.38761,13382.5901951
2061.40804221,13395.5437312
2061.42847451,13402.9057109
2061.44890662,13508.7426597
2061.46933882,13904.1506362
2061.48977112,13872.2246336
2061.51020323,13854.262334
2061.53063543,13827.7553133
2061.55106773,13808.2377112
2061.57149993,13815.3730276
2061.59193203,13795.3660144
2061.61236433,13790.4918008
2061.63279653,13784.8739185
2061.65322863,13790.7295467
2061.67366093,13819.1121988
2061.69409313,13750.9248527
2061.71452533,13718.3684631
2061.73495753,13727.2702835
2061.75538972,13690.469788
2061.77582192,13681.2929183
2061.79625412,13644.0473584
2061.81668631,13594.3690292
2061.83711851,13554.3071956
2061.8575507,13520.8360303
2061.8779828,13471.4099707
2061.89841509,13427.7811947
2061.91884729,13365.3218453
2061.93927948,13313.3285488
2061.95971167,13247.9996468
2061.98014386,13197.9540763
2062.00057615,13143.0150444
2062.02100825,13095.6513368
2062.04144044,13083.9739678
2062.06187273,13036.8071237
2062.08230482,12974.9628512
2062.10273701,12944.6483404
2062.1231693,12927.0709803
2062.14360148,12896.9046814
2062.16403357,12868.7826177
2062.18446586,
2062.20489805,12852.4470708
2062.22533013,12869.0595964
2062.24576242,12864.4556033
2062.26619461,12868.1203894
2062.28662669,12871.1219921
2062.30705898,12883.3370797
2062.32749116,12887.7786691
2062.34792344,12888.1943148
2062.36835553,12885.9601235
2062.38878771,12877.0112908
2062.40921999,12856.492469
2062.42965207,12842.2435472
2062.45008426,12809.6060204
2062.47051644,12791.1729192
2062.49094862,12753.132761
2062.5113808,12718.2798431
2062.53181298,12701.7797052
2062.55224516,12681.1427516
2062.57267734,12676.242304
2062.59310951,12658.2346588
2062.61354169,12645.690166
2062.63397387,12615.8181016
2062.65440615,12591.7604076
2062.67483822,12569.1913042
2062.6952705,12554.778781
2062.71570268,12549.0514813
2062.73613475,12515.6366285
2062.75656703,12501.7943168
2062.7769992,12477.9914205
2062.79743127,12467.7861522
2062.81786355,12426.515136
2062.83829572,12396.3475849
2062.85872779,12371.7222363
2062.87916007,12342.9357329
2062.89959224,12322.0274901
2062.92002431,12329.7389673
2062.94045658,12317.1326624
2062.96088875,12329.7729048
2062.98132092,12309.6158824
2063.00175309,12301.7633257
2063.02218526,12328.8537707
2063.04261743,12370.7488215
2063.06304959,12372.1678516
2063.08348176,12355.0209351
2063.10391403,12336.71074
2063.1243462,12336.2171704
2063.14477826,12319.3831361
2063.16521053,12295.0185148
2063.18564269,12286.1274714
2063.20607476,12287.9083932
2063.22650702,12285.4330376
2063.24693909,12285.4973217
2063.26737125,12277.7354528
2063.28780351,12290.8931445
2063.30823558,12304.1835208
2063.32866774,12341.7997909
2063.3491,12389.0626673
2063.36953206,12386.8465107
2063.38996422,12405.526659
2063.41039648,12411.5783519
2063.43082854,12365.1907836
2063.4512607,12352.7312915
2063.47169296,12314.8974976
2063.49212512,12261.9367747
2063.51255728,12243.7443944
2063.53298944,12225.9892643
2063.55342159,12212.6159578
2063.57385375,12238.2479712
2063.59428591,12227.9974738
2063.61471806,12228.9252322
2063.63515032,12221.6914651
2063.65558237,12220.457893
2063.67601453,12232.4954362
2063.69644678,12246.0113795
2063.71687883,12228.4826445
2063.73731099,12228.0182689
2063.75774324,12213.0134009
2063.77817529,12240.7535099
2063.79860744,12261.4451614
2063.8190397,12264.7247901
2063.83947175,12293.708718
2063.8599039,12305.495085
2063.88033615,12283.0220559
2063.9007682,12249.9657792
2063.92120045,12171.1290149
2063.9416326,12159.9376847
2063.96206464,12195.5924427
2063.98249689,12238.9709302
2064.00292904,12286.1389218
2064.02336109,12269.6421962
2064.04379333,12249.8270926
2064.06422548,12236.2426858
2064.08465752,12242.3706575
2064.10508977,12243.9415589
2064.12552191,12237.0317782
2064.14595396,
2064.1663862,-5754.46122341
2064.18681835,-8102.62086882
2064.20725039,-5679.15323642
2064.22768263,-6324.05477601
2064.24811477,-6196.670521
2064.26854682,-6878.69829278
2064.28897906,-6321.53363705
2064.3094112,-6511.0152963
2064.32984344,-6999.45478844
2064.35027548,-6331.67889524
2064.37070762,-6364.929565
2064.39113986,-4763.07426582
2064.4115719,-4565.09450076
2064.43200403,-6354.50730037
2064.45243627,-4937.12613076
2064.47286841,-5759.83252215
2064.49330045,-5966.20720337
2064.51373268,4569.83297956
2064.53416482,11681.2764814
