,EPIC363
2060.28393148,122254.585294
2060.30436369,122452.331165
2060.32479581,122045.759534
2060.34522782,121525.228348
2060.36566004,121983.722839
2060.38609215,121238.227085
2060.40652427,121122.75326
2060.42695638,120841.806374
2060.44738849,120899.877388
2060.46782061,120437.530345
2060.48825272,120012.114963
2060.50868483,119812.833936
2060.52911694,119478.531658
2060.54954905,119258.135759
2060.56998116,118700.867844
2060.59041337,118425.116393
2060.61084538,118654.525598
2060.63127749,118994.44549
2060.6517097,119230.80765
2060.67214171,119883.453349
2060.69257392,120265.57596
2060.71300602,120566.628094
2060.73343803,120024.380678
2060.75387024,120161.820377
2060.77430234,120389.959752
2060.79473435,120383.018198
2060.81516656,121220.401823
2060.83559866,121640.399335
2060.85603067,121349.146721
2060.87646287,120880.287756
2060.89689497,120291.868437
2060.91732718,119989.125173
2060.93775918,120390.930722
2060.95819128,120910.612213
2060.97862348,121487.97732
2060.99905549,121808.432549
2061.01948759,121170.647913
2061.03991979,121491.218223
2061.06035189,121373.106436
2061.08078389,120672.399764
2061.10121609,120807.50008
2061.12164809,121284.123589
2061.14208028,121439.987052
2061.16251238,121431.189816
2061.18294438,121507.383869
2061.20337658,121500.73746
2061.22380867,121326.128679
2061.24424067,121473.201805
2061.26467287,121686.657061
2061.28510496,128143.888144
2061.30553696,133497.00753
2061.32596915,133686.188552
2061.34640125,133770.154775
2061.36683324,133802.212627
2061.38726543,133863.41849
2061.40769753,133868.401008
2061.42812972,133675.289519
2061.44856171,134002.76769
2061.4689938,134198.784144
2061.489426,134683.790636
2061.50985799,134446.01958
2061.53029008,134427.52932
2061.55072227,134979.338713
2061.57115436,134714.678114
2061.59158635,134406.541478
2061.61201854,134946.550659
2061.63245062,135199.16642
2061.65288261,135199.986016
2061.6733148,134548.157215
2061.69374689,134532.471501
2061.71417897,135517.950712
2061.73461106,135903.831739
2061.75504315,133490.76982
2061.77547523,133134.712884
2061.79590732,132966.85027
2061.8163394,132911.175612
2061.83677148,133054.408443
2061.85720357,132689.624627
2061.87763555,132319.114999
2061.89806773,131769.951274
2061.91849982,131755.548403
2061.9389319,131825.957641
2061.95936398,131528.528325
2061.97979606,130956.025521
2062.00022824,130978.13946
2062.02066022,130798.032602
2062.0410923,130415.519808
2062.06152448,130369.57527
2062.08195646,130353.78206
2062.10238854,130572.054918
