,EPIC548
2060.28369677,-11862350.8673
2060.30412892,-12946674.3417
2060.32456097,-14120775.8436
2060.34499293,-14122165.3563
2060.36542508,-16435745.7839
2060.38585713,-18161550.8392
2060.40628918,-19295324.9021
2060.42672123,-20580921.6735
2060.44715328,-21190682.4897
2060.46758533,-21589771.341
2060.48801738,-21991209.7174
2060.50844943,-23229813.676
2060.52888148,-23914001.8103
2060.54931353,-24212535.4667
2060.56974558,-24584505.5169
2060.59017772,-25698816.0872
2060.61060967,-25666164.8969
2060.63104172,-25817656.1694
2060.65147386,-26541886.7458
2060.67190581,-27200434.0214
2060.69233796,-27753032.335
2060.71277,-28167580.203
2060.73320195,-28780105.3359
2060.75363409,-28908701.6866
2060.77406613,-27607895.9009
2060.79449808,-25546253.8371
2060.81493022,-24774472.0858
2060.83536226,-24573337.7694
2060.85579421,-23423763.8238
2060.87622635,-23156605.0803
2060.89665839,-23167500.3527
2060.91709053,-22967545.2982
2060.93752247,-21352031.6408
2060.95795451,-21123088.1335
2060.97838665,-21168384.4365
2060.99881859,-20927630.6566
2061.01925063,-20536420.2212
2061.03968277,-20177738.7012
2061.06011481,-19966563.1609
2061.08054675,-20072355.2901
2061.10097888,-19524273.989
2061.12141082,-19515044.9077
2061.14184296,-19146509.0247
2061.16227499,-18854765.1543
2061.18270693,-18899503.229
2061.20313907,-18548739.4568
2061.2235711,-18744983.9177
2061.24400304,-18286790.5345
2061.26443517,-18203149.2604
2061.2848672,16490984.1574
2061.30529914,27482811.2303
2061.32573127,30796294.1335
2061.3461633,30257722.2593
2061.36659524,30416484.9126
2061.38702737,31653185.0377
2061.4074594,31676586.5346
2061.42789153,31823340.4575
2061.44832346,3350785.79422
2061.46875549,2886169.58698
2061.48918762,2866935.23196
2061.50961955,2853362.47522
2061.53005158,2831232.97562
2061.55048371,2812951.52005
2061.57091574,2810805.13373
2061.59134767,2790620.5719
2061.61177979,2778050.55356
2061.63221182,2770545.28992
2061.65264375,2764291.02484
2061.67307587,2751376.1449
2061.6935079,2732325.91937
2061.71393993,2726963.38718
2061.73437195,2723655.20523
2061.75480398,2716134.8111
2061.775236,2701537.1806
2061.79566802,2692491.28497
2061.81610005,2671167.11603
2061.83653207,2662290.01968
2061.85696409,2659601.76535
2061.87739602,2645242.27771
2061.89782814,2636780.0777
2061.91826016,2634179.74799
2061.93869218,2628011.72021
2061.9591242,2616796.43011
2061.97955622,2610893.08066
2061.99998834,2609188.36243
2062.02042026,2597580.79681
2062.04085228,2583850.51416
2062.0612844,2590851.05038
2062.08171632,2584278.93256
2062.10214834,2575796.79147
2062.12258046,2566600.99109
2062.14301247,2560928.05515
2062.16344439,2557899.34186
2062.18387651,
2062.20430852,2537391.13614
2062.22474044,2529666.03397
2062.24517256,2530933.72226
2062.26560457,2524626.59738
2062.28603649,2523360.50711
2062.3064686,2513793.0441
2062.32690061,2501477.74158
2062.34733273,2495982.91364
2062.36776464,2485374.53064
2062.38819665,2472815.70828
2062.40862876,2475403.37372
2062.42906068,2471477.73419
2062.44949269,2450014.21933
2062.4699247,2439989.88492
2062.49035671,2429108.3558
2062.51078872,2427206.00577
2062.53122073,2414107.65619
2062.55165274,2402353.10666
2062.57208475,2396140.72702
2062.59251676,2385924.1282
2062.61294877,2371812.78375
2062.63338078,2358831.47403
2062.65381288,2351834.31723
2062.67424479,2343708.10199
2062.6946769,2332702.98795
2062.7151089,2321648.46747
2062.73554081,2311363.80161
2062.75597292,2300782.55069
2062.77640492,2281534.08051
2062.79683683,2272095.81158
2062.81726893,2258641.94168
2062.83770094,2253023.80405
2062.85813284,2244910.9021
2062.87856494,2235290.29803
2062.89899695,2226576.27435
2062.91942885,2221350.30908
2062.93986095,2215676.95059
2062.96029295,2209541.35541
2062.98072495,2199830.44861
2063.00115696,2190102.04526
2063.02158896,2197114.22827
2063.04202096,2191319.15384
2063.06245296,2191386.88126
2063.08288496,2187927.52771
2063.10331705,2187566.89725
2063.12374905,2189257.12817
2063.14418095,2178502.66931
2063.16461305,2181283.09277
2063.18504505,2186201.92017
2063.20547695,2177640.29346
2063.22590904,2183493.3501
2063.24634094,2184720.23773
2063.26677293,2185922.24008
2063.28720503,2187844.41461
2063.30763693,2180635.30072
2063.32806892,2178660.16373
2063.34850102,2188916.13486
2063.36893291,2190597.33612
2063.3893649,2184637.01108
2063.409797,2179332.32776
2063.43022889,2184890.06863
2063.45066088,2185185.7872
2063.47109298,2187914.93985
2063.49152497,2177236.82599
2063.51195696,2176259.77896
2063.53238895,2181719.89056
2063.55282094,2181580.87402
2063.57325293,2175205.59665
2063.59368492,2176269.00983
2063.61411691,2186293.78958
2063.634549,2150194.40857
2063.65498089,2190409.8175
2063.67541288,2182807.79022
2063.69584497,2171780.93323
2063.71627685,2162381.46814
2063.73670884,2161939.98065
2063.75714093,2156746.24292
2063.77757282,2155647.22476
2063.7980048,2163158.71442
2063.81843689,2149948.349
2063.83886877,2151902.11569
2063.85930076,2147772.12442
2063.87973284,2154095.20486
2063.90016473,2153853.10599
2063.92059681,2147697.69449
2063.94102879,2150110.73013
2063.96146068,2143928.85513
2063.98189276,2147021.92752
2064.00232474,2148090.13669
2064.02275663,2150470.44403
2064.04318871,2145678.95746
2064.06362069,2158164.58627
2064.08405257,2156771.41388
2064.10448465,2156324.94778
2064.12491663,2162079.23355
2064.14534851,
2064.16578059,41534084.8711
2064.18621257,19596056.1969
2064.20664445,18232290.7719
2064.22707653,17634491.9329
2064.2475085,17939123.7366
2064.26794038,17619199.0437
2064.28837246,17632008.5208
2064.30880444,17381371.964
2064.32923651,18087488.0801
2064.34966839,17912864.5405
2064.37010036,17624692.9518
2064.39053244,-35620679.9289
2064.41096432,-45540150.0867
2064.43139629,16970221.7067
2064.45182836,-22454538.2446
2064.47226034,-266492462.292
2064.49269221,-165076648.737
2064.51312429,-81419528.8414
2064.53355626,-472679.177032
2064.55398813,2181970.71228
2064.5744202,2182222.73032
2064.59485217,2186112.61234
2064.61528405,2179299.06152
2064.63571612,2185550.7218
2064.65614809,2198329.01654
2064.67658003,
2064.69701198,
2064.71744392,
2064.73787587,2208788.6008
2064.75830793,2206751.38007
2064.7787398,2209215.74216
2064.79917187,2206785.19901
2064.81960384,2212676.60739
2064.84003581,2211026.6123
2064.86046777,2210682.82565
2064.88089974,2211833.32901
2064.90133171,2207984.65451
2064.92176367,2210521.57581
