,EPIC387
2060.28385439,79271.3690145
2060.30428659,79897.1949169
2060.32471869,80497.7686917
2060.34515069,80641.7951413
2060.36558289,80699.3709107
2060.38601499,80855.1390276
2060.40644709,81298.3370986
2060.42687919,81603.9616267
2060.44731129,81941.4976316
2060.46774339,82042.0043554
2060.48817548,82165.6361259
2060.50860758,82218.5420122
2060.52903968,82158.1056063
2060.54947177,82235.879652
2060.56990387,82363.6904455
2060.59033606,82606.7733813
2060.61076806,82899.6837592
2060.63120015,83010.1822805
2060.65163235,82888.5405837
2060.67206434,82948.9976761
2060.69249653,83250.9368059
2060.71292863,83630.9625898
2060.73336062,83934.3756516
2060.75379281,84168.2264157
2060.7742249,84427.9686957
2060.79465689,84723.2886176
2060.81508908,84762.0407954
2060.83552117,84812.887437
2060.85595316,84892.3328831
2060.87638535,85067.8935966
2060.89681744,85277.3556531
2060.91724963,85339.4760625
2060.93768162,85553.3460003
2060.95811371,85638.0283817
2060.97854589,85858.508185
2060.99897788,86029.9303943
2061.01940997,85798.634162
2061.03984215,85909.7417447
2061.06027424,85859.7231437
2061.08070622,85703.5495916
2061.10113841,85625.9576325
2061.12157039,85609.651905
2061.14200258,85608.096761
2061.16243466,85644.3306553
2061.18286664,85603.5687632
2061.20329883,85767.4715111
2061.22373091,85503.5703876
2061.24416289,85634.3118103
2061.26459507,85746.611774
2061.28502715,89207.788358
2061.30545913,93530.1565949
2061.32589131,93412.1939933
2061.34632339,93332.4671188
2061.36675537,93390.3684352
2061.38718755,93329.5382926
2061.40761963,93388.3324855
2061.42805181,93453.2996445
2061.44848379,93944.0329881
2061.46891586,94227.0929227
2061.48934804,94237.6480722
2061.50978002,94283.2920686
2061.53021209,94465.047504
2061.55064427,94379.7300742
2061.57107634,94345.5433315
2061.59150832,94393.924831
2061.61194049,94540.726958
2061.63237257,94577.6662566
2061.65280454,94548.4608665
2061.67323671,94501.4693971
2061.69366878,94532.5572005
2061.71410086,94623.6108648
2061.73453293,94670.7408638
2061.754965,94714.3984528
2061.77539707,94700.9568541
2061.79582914,94645.9693553
2061.81626121,94513.7220308
2061.83669328,94378.4587756
2061.85712535,94364.1055707
2061.87755732,94346.9102374
2061.89798949,94400.8850667
2061.91842156,94383.724315
2061.93885362,94292.8226093
2061.95928569,94217.8568187
2061.97971776,94174.3147925
2062.00014992,94292.0208084
2062.02058189,94431.6022045
2062.04101396,94563.2243279
2062.06144612,94625.7936025
2062.08187809,94581.8902012
2062.10231015,94611.7818487
2062.12274231,94753.5597487
2062.14317438,94808.9207994
2062.16360634,94855.9580104
2062.1840385,
2062.20447057,95079.9882324
2062.22490253,95190.4381649
2062.24533469,95268.3355185
2062.26576675,95358.0765954
2062.28619871,95601.8568305
2062.30663087,95608.8181903
2062.32706293,95703.639672
2062.34749509,95878.3097438
2062.36792705,96234.7566046
2062.38835911,96532.2505017
2062.40879127,96648.5833681
2062.42922322,97044.6562288
2062.44965528,97172.5301016
2062.47008734,97220.6840851
2062.4905194,97352.9418759
2062.51095145,97369.9734394
2062.53138351,97660.4315829
2062.55181556,97821.001578
2062.57224762,98317.1837119
2062.59267967,98796.8697532
2062.61311173,98858.1871604
2062.63354378,98535.5698648
2062.65397593,98285.9533353
2062.67440789,98288.0641287
2062.69484004,98450.6504962
2062.71527209,98906.0832531
2062.73570404,98763.7383242
2062.75613619,98369.5919425
2062.77656824,98032.5062676
2062.7970002,97928.0874873
2062.81743234,97840.6476067
