,EPIC916
2060.28381153,16272.9386831
2060.30424372,16541.2164139
2060.3246758,16582.6405263
2060.34510778,16455.3104137
2060.36553996,16566.3421682
2060.38597205,16574.201261
2060.40640413,16685.8542313
2060.42683621,16714.8221207
2060.44726829,16742.4386977
2060.46770037,16651.3504492
2060.48813245,16683.0871781
2060.50856453,16724.9615203
2060.52899661,16760.4751936
2060.54942869,16762.6469437
2060.56986077,16761.9031222
2060.59029295,16772.2982391
2060.61072493,16790.1239269
2060.631157,16734.0748995
2060.65158918,16706.6603923
2060.67202116,16825.2096414
2060.69245333,16872.049279
2060.71288541,16919.7191915
2060.73331738,16908.0307299
2060.75374956,16952.5769499
2060.77418163,17078.537269
2060.79461361,17188.6050945
2060.81504578,17225.5018325
2060.83547785,17202.0031227
2060.85590983,17307.126465
2060.876342,17389.6638044
2060.89677407,17412.3883725
2060.91720624,17326.7568956
2060.93763821,17552.4474967
2060.95807029,17727.6093692
2060.97850246,17855.8965164
2060.99893443,18030.495542
2061.01936649,18008.2235859
2061.03979866,18081.4630744
2061.06023073,18166.549579
2061.0806627,18088.1469472
2061.10109487,18159.0058146
2061.12152684,18191.3383141
2061.141959,18233.8251844
2061.16239107,18304.4211762
2061.18282304,18278.6086149
2061.2032552,18385.400561
2061.22368727,18349.889719
2061.24411923,18463.0339472
2061.2645514,18480.1082141
2061.28498346,24782.8801084
2061.30541542,38657.4248111
2061.32584759,38579.7924371
2061.34627965,38589.612845
2061.36671161,38603.9967264
2061.38714378,38621.0850988
2061.40757584,38615.0884551
2061.428008,38629.5425332
2061.44843996,39482.192106
2061.46887202,40068.140112
2061.48930418,40074.9086416
2061.50973614,40084.2275567
2061.5301682,40047.8757912
2061.55060036,40043.1485923
2061.57103242,40019.3642257
2061.59146437,40069.0994289
2061.61189653,40142.18967
2061.63232859,40129.5624402
2061.65276055,40223.6051837
2061.6731927,40215.1749531
2061.69362476,40226.0010043
2061.71405681,40237.6862538
2061.73448887,40298.9107679
2061.75492092,40309.5367094
2061.77535298,40301.5544542
2061.79578503,40318.4468761
2061.81621709,40336.2958692
2061.83664914,40308.6658511
2061.85708119,40308.4416994
2061.87751314,40307.9085841
2061.8979453,40375.791693
2061.91837735,40331.0442514
2061.9388094,40292.4809457
2061.95924145,40247.87123
2061.9796735,40262.5313638
2062.00010565,40298.8087383
2062.0205376,40280.8689679
2062.04096965,40199.4528891
2062.0614018,40095.1337018
2062.08183375,39981.4772808
2062.10226579,39832.7569089
2062.12269794,39681.9837188
2062.14312999,39405.6850525
2062.16356193,39016.4981422
2062.18399408,
2062.20442613,37178.9280774
2062.22485807,35785.0016868
2062.24529022,34127.481774
2062.26572226,32407.8727577
2062.28615421,30608.5711853
2062.30658635,28502.2989738
2062.32701839,26232.9283029
2062.34745054,24199.8988037
2062.36788248,22457.0190404
2062.38831452,21132.6678436
2062.40874666,20070.2381083
2062.4291786,19148.4845301
2062.44961065,18032.2663009
2062.47004269,16768.8718264
2062.49047473,15631.5243737
2062.51090677,14876.3295679
2062.53133881,14490.1486996
2062.55177084,14874.4078549
2062.57220288,16202.5071631
2062.59263492,18167.445829
2062.61306696,20529.5050572
2062.633499,22952.96137
2062.65393113,24706.0993043
2062.67436307,25976.0288283
2062.69479521,27328.7691211
2062.71522724,28708.9220397
2062.73565918,30164.7757855
2062.75609131,31505.7235728
2062.77652335,31997.1658772
2062.79695528,32144.5659874
2062.81738742,32463.7493763
2062.83781945,33205.0613404
2062.85825138,34271.9841284
2062.87868351,35536.8567885
2062.89911555,36483.8588318
2062.91954748,37178.1370591
2062.93997961,37660.5800851
2062.96041164,38089.9992976
2062.98084367,38553.339162
2063.0012757,38949.3759058
2063.02170773,39249.9563273
2063.04213976,39555.7377284
2063.06257179,39868.1135376
2063.08300382,40104.0044314
2063.10343595,40100.9259245
2063.12386798,39678.5123334
2063.1442999,39351.7096387
2063.16473203,39123.9820406
2063.18516406,38845.666647
2063.20559598,38914.4574653
2063.22602811,39007.8523438
2063.24646003,38941.18682
2063.26689206,38511.7939191
2063.28732418,38223.4426718
2063.30775611,38088.9388209
2063.32818813,38352.8723594
2063.34862026,38595.4311881
2063.36905218,39154.4656579
2063.3894842,39916.1786588
2063.40991632,40691.8556108
2063.43034825,41007.2604684
2063.45078027,41083.1851708
2063.47121239,41145.3447887
2063.49164441,41130.3353746
2063.51207643,41115.0298724
2063.53250845,41087.8023021
2063.55294047,41042.3515333
2063.57337249,40987.7087591
2063.59380451,40900.4716182
2063.61423653,40843.4077128
2063.63466864,40730.6006372
2063.65510056,40769.8975334
2063.67553258,40759.1867972
2063.6959647,40702.5287965
2063.71639661,40677.8998457
2063.73682863,40630.026271
2063.75726074,40603.5368752
2063.77769266,40569.9381247
2063.79812467,40553.33508
2063.81855679,40524.7187581
2063.8389887,40513.7914422
2063.85942072,40497.4758395
2063.87985283,40475.5067476
2063.90028474,40448.6690149
2063.92071686,40613.1177053
2063.94114887,40662.4459315
2063.96158078,40396.2340837
2063.98201289,40301.2478202
2064.0024449,40266.6684807
2064.02287681,40215.0570889
2064.04330892,40178.0102856
2064.06374093,40107.4297763
2064.08417284,40000.740752
2064.10460495,39926.6350241
2064.12503696,39872.29794
2064.14546887,
2064.16590098,-13073.9985793
2064.18633298,50127.3753544
2064.20676489,-2553.43161222
2064.227197,-976.232322246
2064.247629,66779.6444463
2064.26806091,38711.3398857
2064.28849302,168606.747808
2064.30892502,6075436.03977
2064.32935713,2007810.06428
2064.34978903,571.551063865
2064.37022103,54883.9095533
2064.39065314,-9751.65233031
2064.41108504,-8387.13502499
2064.43151704,2711.01322374
2064.45194915,-11748.4019463
2064.47238115,-6689.73609599
2064.49281305,-12822.4837094
2064.51324515,-12320.747916
2064.53367715,28987.2867495
2064.55410905,31063.9089002
2064.57454115,32077.15115
2064.59497315,33157.0541786
2064.61540505,34537.6207503
2064.63583715,36193.8995995
2064.65626915,37358.4592721
2064.67670112,
2064.6971331,
2064.71756507,
2064.73799704,38054.4863305
2064.75842914,37959.6892527
2064.77886103,37979.9915872
2064.79929313,37960.307404
2064.81972513,38044.726417
2064.84015712,38143.6830617
2064.86058912,38211.7133211
2064.88102111,38268.5902261
2064.9014531,38191.1120118
2064.9218851,38093.8474407
2064.94231709,38040.0887405
2064.96274908,38077.5493816
2064.98318118,38089.0327438
2065.00361307,38208.1801406
2065.02404506,38360.9616024
2065.04447715,38556.425088
2065.06490904,38752.5819047
2065.08534103,38936.282754
2065.10577312,39108.0242764
2065.12620501,39272.7020415
2065.146637,39431.2034878
2065.16706909,39545.3919232
2065.18750098,39608.675929
2065.20793307,39642.6753978
2065.22836506,39629.5574309
2065.24879694,39646.7795594
2065.26922903,39638.4233332
2065.28966102,39579.639498
2065.31009301,39480.4313653
2065.33052499,39366.7029522
2065.35095698,39274.952778
2065.37138896,39307.77073
2065.39182095,39268.6815248
2065.41225293,39302.8810125
2065.43268492,39362.3522325
2065.4531169,39417.1280313
2065.47354888,39482.8559403
2065.49398077,39505.0138626
2065.51441285,39495.3999737
2065.53484483,39505.7455289
2065.55527671,39499.190021
2065.5757088,39524.5682497
2065.59614078,39598.4773632
2065.61657266,39708.8828765
2065.63700474,39795.5854026
2065.65743672,39866.5450922
2065.6778688,39920.2696107
2065.69830068,39980.2526056
2065.71873266,40032.3058463
2065.73916473,40082.7063524
2065.75959661,40092.6043108
2065.78002859,40140.3797449
2065.80046067,40178.6344553
2065.82089264,40237.9640388
2065.84132452,40221.7779392
2065.8617566,40203.9360616
2065.88218857,40110.9709552
2065.90262045,39989.1132587
2065.92305252,39790.1305577
2065.9434845,39437.5101073
2065.96391637,38950.5563659
2065.98434845,38454.5812311
2066.00478042,38041.4773287
2066.02521229,37737.001885
2066.04564437,37497.8146011
2066.06607634,37282.6384473
2066.08650841,37114.5118261
2066.10694028,
2066.12737226,37140.754527
2066.14780423,37361.8271288
2066.1682362,37706.394229
2066.18866817,38013.8928418
2066.20910014,38297.3764612
2066.22953211,38676.9641238
2066.24996408,38993.3518395
2066.27039605,39298.3450697
2066.29082801,39682.6357815
2066.31125998,39782.2486296
2066.33169205,39794.0019949
2066.35212392,39860.1727343
2066.37255588,39967.6728688
2066.39298795,40020.9705921
2066.41341982,40040.0947621
2066.43385178,39900.2969229
2066.45428385,39772.6750385
2066.47471571,39689.4361856
2066.49514768,39623.1571324
2066.51557974,39659.4205813
2066.53601161,39796.2555816
2066.55644367,39966.7832317
2066.57687563,40218.0588373
2066.5973075,40464.4259957
2066.61773956,40605.2124781
2066.63817152,40691.850798
2066.65860348,40758.8196343
2066.67903545,40810.0384944
2066.69946741,40847.2339731
2066.71989937,40861.0333865
2066.74033133,40892.9342966
2066.76076329,40866.9997299
2066.78119525,40791.2528664
2066.80162731,40719.6933162
2066.82205917,40610.8478299
2066.84249112,40586.3862077
2066.86292308,40499.890703
2066.88335504,40468.3316511
2066.903787,40345.7798894
2066.92421906,40236.6759393
2066.94465091,40107.8906015
2066.96508277,39812.2153949
2066.98551482,39389.2017526
2067.00594678,38831.0916401
2067.02637884,37923.3658431
2067.04681069,36702.1309872
2067.06724265,35413.5116982
2067.0876747,34162.3392636
2067.10810655,32872.984544
2067.12853851,31759.1532796
2067.14897056,30820.8417076
2067.16940251,30025.8833181
2067.18983436,29504.4874698
2067.21026642,29353.5013556
2067.23069837,29384.3482336
2067.25113022,29419.0761261
2067.27156227,29691.4482227
2067.29199422,30317.4315595
2067.31242607,31302.6064018
2067.33285812,32460.1056771
2067.35329007,33741.1510493
2067.37372192,34793.2393622
2067.39415397,35540.160061
2067.41458592,36217.0585733
2067.43501777,36812.6895536
2067.45544981,37254.0565225
2067.47588176,37593.3659073
2067.49631381,37869.4972528
2067.51674565,38034.9268241
2067.5371776,37936.6687945
2067.55760965,37728.037141
2067.57804149,37542.5484236
2067.59847344,37309.7561879
2067.61890538,37071.0809403
2067.63933743,36876.2611292
2067.65976927,36636.9203087
2067.68020121,36349.3640967
2067.70063316,35848.2007016
2067.7210651,34981.5859896
2067.74149714,34061.7788799
2067.76192898,33226.3042924
2067.78236093,32362.630876
2067.80279297,31398.8489825
2067.82322481,31130.309613
2067.84365675,30940.3141259
2067.86408879,30856.576011
2067.88452063,30967.0321215
2067.90495267,31321.4007865
2067.92538461,31529.7243725
2067.94581645,31211.1810194
2067.96624849,30736.2253406
2067.98668043,30188.429386
2068.00711236,29667.5731128
2068.0275443,29215.9061804
2068.04797624,28626.0498447
2068.06840818,
2068.08884011,13268.5133834
2068.10927205,26269.6234338
2068.12970399,25601.7954231
2068.15013602,25360.9998089
2068.17056786,25276.8476181
2068.19099979,25099.3892982
2068.21143183,25241.4650306
2068.23186366,25620.5725182
2068.25229559,25977.1280907
2068.27272763,26020.197883
2068.29315946,26055.6728704
2068.31359139,26251.3902759
2068.33402343,26691.2506171
2068.35445526,27468.8228357
2068.37488729,28432.3200448
2068.39531912,29578.9140163
2068.41575105,30756.8361575
2068.43618308,31950.9673707
2068.45661491,32828.2416968
2068.47704684,33432.3484138
2068.49747887,34272.0051798
2068.5179107,35040.8222557
2068.53834263,35414.1528743
2068.55877466,35642.7581068
2068.57920659,35590.885599
2068.59963841,35081.5810389
2068.62007044,34156.1072071
2068.64050237,33298.8544576
2068.66093419,32155.3539512
2068.68136622,30284.4052415
2068.70179815,27986.9711296
2068.72222997,25463.1109233
2068.742662,22958.1779508
2068.76309392,21365.6850111
2068.78352595,20805.2067899
2068.80395777,21340.6292155
2068.8243897,22164.6432717
2068.84482172,23915.4955898
2068.86525354,26063.5493745
2068.88568547,28057.2272184
2068.90611749,29564.5037356
2068.92654931,30656.2145677
2068.94698123,30702.6857711
2068.96741325,29825.7080809
2068.98784518,28593.9318467
2069.008277,26854.6975261
2069.02870902,25550.9000941
2069.04914094,25132.7059356
2069.06957276,25208.9628383
2069.09000478,26369.7648764
2069.11043659,27971.5488546
2069.13086851,30563.3648992
2069.15130053,33431.9124925
2069.17173245,35956.4650303
2069.19216427,37579.0494329
2069.21259629,38119.9104532
2069.2330281,38136.932714
2069.25346012,37884.4359726
2069.27389204,37684.0277877
2069.29432385,37476.4198965
2069.31475587,37125.724749
2069.33518778,36775.7387123
2069.3556196,36606.4999053
2069.37605161,36879.1156483
2069.39648353,37557.9207228
2069.41691544,38025.4157259
2069.43734735,38135.9787328
2069.45777927,37956.3221706
2069.47821118,37517.3383608
