,EPIC512
2060.28383322,281413.744662
2060.30426541,284456.146346
2060.3246975,285531.980758
2060.34512948,285244.346886
2060.36556167,286717.696964
2060.38599375,287386.616878
2060.40642584,289165.196472
2060.42685792,290145.259913
2060.44729001,290776.809747
2060.46772209,290389.398214
2060.48815418,290254.048145
2060.50858626,290497.95349
2060.52901834,289669.139004
2060.54945043,289147.003979
2060.56988251,288376.965074
2060.59031469,287210.026224
2060.61074667,286358.34145
2060.63117875,285371.414783
2060.65161093,285223.182904
2060.67204291,285620.068404
2060.69247509,286810.887033
2060.71290717,288707.446137
2060.73333915,289457.416975
2060.75377133,289750.57228
2060.77420341,289607.399795
2060.79463538,289252.557157
2060.81506756,287625.854787
2060.83549964,285877.578782
2060.85593161,284942.309807
2060.87636379,282996.248906
2060.89679586,279834.124524
2060.91722804,274750.284666
2060.93766001,271183.547099
2060.95809209,266370.274621
2060.97852426,261400.73822
2060.99895624,257380.013254
2061.01938831,254623.276923
2061.03982048,252832.771057
2061.06025255,251192.915476
2061.08068452,249419.361687
2061.1011167,249861.584446
2061.12154867,249326.328039
2061.14198084,249102.011451
2061.16241291,248615.715822
2061.18284488,247738.120161
2061.20327705,247378.334948
2061.22370911,247082.536764
2061.24414108,246988.008229
2061.26457325,246344.113542
2061.28500532,265928.122551
2061.30543729,279977.134971
2061.32586945,277708.118573
2061.34630152,274878.375854
2061.36673348,271706.43482
2061.38716565,269128.953151
2061.40759772,266731.728082
2061.42802988,263991.652514
2061.44846184,255691.244967
2061.46889391,254507.777955
2061.48932607,255941.08652
2061.50975803,256792.26262
2061.5301901,257228.460828
2061.55062226,258857.988912
2061.57105432,261572.814785
2061.59148628,265526.428838
2061.61191844,271202.429727
2061.6323505,278920.760413
2061.65278246,287465.51218
2061.67321462,294144.12851
2061.69364668,299179.185272
2061.71407874,302441.105584
2061.7345108,305543.57605
2061.75494286,308732.047161
2061.77537492,311206.111665
2061.79580697,313188.163486
2061.81623903,314472.196443
2061.83667109,315440.304061
2061.85710314,315806.805395
2061.8775351,316226.240413
2061.89796725,316481.214683
2061.91839931,316570.771067
2061.93883136,316592.854254
2061.95926342,316634.218689
2061.97969547,316694.295124
2062.00012762,317087.789145
2062.02055958,316383.404581
2062.04099163,315145.88892
2062.06142378,314296.178343
2062.08185573,314214.213562
2062.10228778,314551.652832
2062.12271993,315991.230823
2062.14315198,316520.917911
2062.16358393,316999.047828
2062.18401608,
2062.20444813,317337.302514
2062.22488008,316270.53864
2062.24531223,316034.383158
2062.26574428,316378.05918
2062.28617623,316700.798964
2062.30660837,316986.628454
2062.32704042,315999.97947
2062.34747257,314945.67029
2062.36790451,313933.835831
2062.38833656,312826.368936
2062.4087687,311739.299065
2062.42920065,311197.329049
2062.44963269,310994.123811
2062.47006473,311055.846098
2062.49049678,311913.778015
2062.51092882,313079.259683
2062.53136086,315059.511711
2062.55179291,317580.423114
2062.57222495,320656.157977
2062.59265699,324016.506154
2062.61308903,326888.626232
2062.63352107,329929.29042
2062.65395321,333342.542536
2062.67438515,336488.385665
2062.69481729,338994.183728
2062.71524933,340853.996583
2062.73568127,341689.500446
2062.75611341,341160.811896
2062.77654544,339845.373614
2062.79697738,338289.426812
2062.81740952,336733.662656
2062.83784156,335319.30647
2062.85827349,334234.141978
2062.87870563,333172.987631
2062.89913766,332460.579455
2062.9195696,331863.168553
2062.94000173,331186.636659
2062.96043377,330713.377083
2062.9808658,329332.012591
2063.00129783,328513.799856
2063.02172987,328041.694439
2063.0421619,328052.883886
2063.06259393,328531.233211
2063.08302596,329422.136105
2063.1034581,330872.328917
2063.12389013,332403.936867
2063.14432206,334074.903039
2063.16475419,335598.804214
2063.18518622,336686.208493
2063.20561815,337761.871983
2063.22605028,338884.037794
2063.2464822,339723.360291
2063.26691423,340688.766526
2063.28734636,341795.343673
2063.30777829,343343.159372
2063.32821032,344695.788135
2063.34864244,345834.480699
2063.36907437,346436.700633
2063.38950639,346730.745414
2063.40993852,347053.410001
2063.43037044,347199.32679
2063.45080247,347251.679545
2063.47123459,347122.86293
2063.49166662,347093.596639
2063.51209864,347039.335341
2063.53253066,346860.353403
2063.55296269,346740.692227
2063.57339471,346760.727247
2063.59382673,346413.566638
2063.61425875,346139.49504
2063.63469087,345555.735525
2063.65512279,345757.774212
2063.67555481,345292.538436
2063.69598693,344838.485157
2063.71641885,344298.812479
2063.73685087,343811.333796
2063.75728299,343361.290408
2063.77771491,342953.965343
2063.79814693,342464.515924
2063.81857905,342060.459419
2063.83901096,341640.258021
2063.85944298,341171.846353
2063.8798751,340726.891578
2063.90030701,340278.590221
2063.92073913,339819.682959
2063.94117114,339239.372303
2063.96160306,338686.036979
2063.98203517,338203.322111
2064.00246719,337788.980119
2064.0228991,337388.899852
2064.04333121,336965.249417
2064.06376323,336579.811865
2064.08419514,336307.792759
2064.10462725,336019.002168
2064.12505926,335735.826232
2064.14549117,
2064.16592329,1134.2811104
2064.1863553,-1460.48709764
2064.20678721,-1412.61850049
2064.22721932,-1481.22343687
2064.24765133,-1081833.91721
2064.26808323,-968.269085311
2064.28851534,1282478.42923
2064.30894735,-681309.051867
2064.32937946,-994.953146708
2064.34981137,-991.662397609
2064.37024337,-1067.86418117
2064.39067548,29369.7640175
2064.41110739,27869.7521134
2064.43153939,193.079964417
2064.4519715,22540.2713436
2064.4724035,-909.966936183
2064.49283541,6951.50772142
2064.51326751,19822.4281994
2064.53369952,320498.869486
2064.55413142,330178.492992
2064.57456352,330279.100352
2064.59499553,330452.739742
2064.61542743,330684.147605
2064.63585953,330902.486836
2064.65629153,331206.989739
2064.67672351,
2064.69715548,
2064.71758746,
2064.73801943,332027.347725
2064.75845153,332283.262477
2064.77888343,332611.979683
2064.79931553,332996.965624
2064.81974753,333407.421344
2064.84017953,333942.157194
2064.86061153,334440.061142
2064.88104352,334968.702939
2064.90147552,335371.898708
2064.92190752,335910.229369
2064.94233951,336405.598837
2064.96277151,337143.909918
2064.9832036,337656.943861
2065.0036355,338298.040993
2065.02406749,338902.949092
2065.04449959,339514.56334
2065.06493148,340238.446144
2065.08536348,340834.378763
2065.10579557,341613.876711
2065.12622746,342126.710281
2065.14665946,342766.112966
2065.16709155,343249.003479
2065.18752344,343741.231087
2065.20795553,344145.170673
2065.22838752,344540.728677
2065.24881941,344800.381
2065.2692515,344819.81514
2065.28968349,344678.400625
2065.31011548,344205.198282
2065.33054747,343495.225143
2065.35097946,342413.606992
2065.37141145,341024.95278
2065.39184343,339741.107724
2065.41227542,338867.515506
2065.43270741,338284.150515
2065.4531394,338242.260656
2065.47357138,338607.42936
2065.49400327,338811.474657
2065.51443535,338561.474694
2065.53486734,338019.328654
2065.55529922,337299.060366
2065.57573131,336628.603842
2065.59616329,335330.321023
2065.61659518,333991.049827
2065.63702726,332769.483959
2065.65745924,331767.369324
2065.67789132,330655.551279
2065.69832321,329840.69802
2065.71875519,330429.136009
2065.73918727,331517.949162
2065.75961915,332013.274642
2065.78005113,331361.502931
2065.80048321,330927.564516
2065.82091519,331371.790452
2065.84134707,331690.276591
2065.86177915,331739.984147
2065.88221113,330761.239096
2065.90264301,329984.874066
2065.92307509,329122.621625
2065.94350706,326857.287084
2065.96393894,323684.986131
2065.98437102,319265.475478
2066.00480299,313626.426491
2066.02523487,309089.161423
2066.04566695,303913.315595
2066.06609892,297067.939084
2066.086531,289440.632934
2066.10696287,
2066.12739485,275805.428076
2066.14782682,272324.276081
2066.16825879,267951.730935
2066.18869077,265797.98251
2066.20912274,263638.153161
2066.22955471,261324.008124
2066.24998668,258767.458688
2066.27041865,255799.120022
2066.29085063,253011.218134
2066.3112826,248557.163925
2066.33171467,242211.825647
2066.35214654,234932.337043
2066.37257851,226064.626656
2066.39301058,217199.337761
2066.41344245,209651.748023
2066.43387441,201526.93559
2066.45430648,193386.632971
2066.47473835,188097.061576
2066.49517032,186728.121271
2066.51560239,183808.731221
2066.53603425,181363.879212
2066.55646632,180403.776812
2066.57689829,180601.434987
2066.59733015,181452.14441
2066.61776222,181422.715428
2066.63819418,182157.401351
2066.65862615,184514.576795
2066.67905811,189742.133917
2066.69949007,199492.594552
2066.71992204,209603.730809
2066.740354,217808.253917
2066.76078596,225066.706888
2066.78121793,231948.86415
2066.80164999,236978.285887
2066.82208185,241350.088414
2066.84251381,245199.727938
2066.86294577,248514.798687
2066.88337773,252399.02046
2066.90380969,256476.79716
2066.92424175,260622.508612
2066.94467361,264612.111624
2066.96510547,267877.971363
2066.98553753,270782.07067
2067.00596949,274234.096292
2067.02640155,277363.932207
2067.0468334,280716.597075
2067.06726536,285283.11814
2067.08769742,290629.577845
2067.10812927,295945.758999
2067.12856123,300226.221049
2067.14899329,303905.995285
2067.16942524,306962.059589
2067.1898571,309663.992499
2067.21028915,312226.998323
2067.23072111,314238.29655
2067.25115296,315419.894524
2067.27158501,316094.593915
2067.29201697,316682.478657
2067.31244882,317384.991334
2067.33288087,317107.702215
2067.35331282,315471.212293
2067.37374468,313059.485237
2067.39417673,309723.440687
2067.41460868,304552.263465
2067.43504053,299298.900024
2067.45547258,294996.106363
2067.47590453,291602.944232
2067.49633658,289344.936495
2067.51676843,288799.760995
2067.53720038,289887.682349
2067.55763243,292123.839636
2067.57806427,295384.919187
2067.59849622,300315.020344
2067.61892817,307303.298166
2067.63936022,316200.32079
2067.65979206,324123.538368
2067.68022401,330088.259886
2067.70065596,333817.366556
2067.7210879,336146.966331
2067.74151995,338115.809046
2067.76195179,339193.448023
2067.78238374,339723.538769
2067.80281578,340095.870816
2067.82324762,339622.866162
2067.84367957,339326.4838
2067.86411161,339069.216917
2067.88454345,338691.790006
2067.9049755,338248.75176
2067.92540744,337788.544737
2067.94583928,337140.339442
2067.96627132,335538.608822
2067.98670326,331327.913564
2068.0071352,324645.592321
2068.02756714,317775.596507
2068.04799908,311681.97005
2068.06843102,
2068.08886296,242786.7534
2068.1092949,285197.646946
2068.12972684,273579.489328
2068.15015888,260806.056556
2068.17059071,244182.414703
2068.19102265,228123.493872
2068.21145469,215546.081512
2068.23188653,207465.215594
2068.25231846,205637.286148
2068.2727505,210965.696581
2068.29318233,221740.182381
2068.31361427,233958.303316
2068.3340463,246117.646433
2068.35447814,256789.71594
2068.37491017,267037.170385
2068.39534201,277521.53535
2068.41577394,285672.336071
2068.43620597,293292.174044
2068.4566378,300311.492717
2068.47706974,306320.98189
2068.49750177,312207.29399
2068.5179336,318167.158763
2068.53836553,325173.379639
2068.55879756,332435.302123
2068.57922949,338452.992528
2068.59966132,342390.003459
2068.62009335,344703.988626
2068.64052528,345759.704379
2068.66095711,345903.663335
2068.68138914,345849.482513
2068.70182107,345832.150087
2068.7222529,345616.406199
2068.74268493,345315.755266
2068.76311685,344854.794051
2068.78354888,344378.767471
2068.80398071,344562.627963
2068.82441263,344454.973744
2068.84484466,344482.795796
2068.86527649,344584.539539
2068.88570841,343825.64813
2068.90614044,342891.762163
2068.92657226,342282.273246
2068.94700419,341823.511576
2068.96743621,341346.367416
2068.98786813,341028.653158
2069.00829996,340703.547021
2069.02873198,340778.426896
2069.0491639,340169.719946
2069.06959572,339732.646683
2069.09002775,339386.834151
2069.11045957,339082.542845
2069.13089149,339010.646173
2069.15132351,338844.490366
2069.17175543,338599.305677
2069.19218725,338473.773638
2069.21261927,338283.390482
2069.23305109,337929.717255
2069.25348311,337672.654784
2069.27391503,337324.821279
2069.29434685,336910.772674
2069.31477886,336504.389187
2069.33521078,336164.586862
2069.3556426,335854.804028
2069.37607462,335401.726246
2069.39650653,334733.752443
2069.41693845,333750.448777
2069.43737036,332433.747808
2069.45780228,330598.692712
2069.4782342,327500.26926
2069.49866611,324265.496224
2069.51909802,322215.377691
2069.53952994,320844.896174
2069.55996195,320504.978192
2069.58039377,320616.049662
2069.60082568,321494.881637
2069.62125769,322930.724651
2069.64168951,324336.030004
2069.66212152,326047.147224
2069.68255343,327510.798366
2069.70298524,328276.328939
2069.72341725,328523.600519
2069.74384916,328507.085241
2069.76428097,328750.371348
2069.78471298,328923.73161
2069.80514489,329220.482423
2069.8255767,329222.322638
2069.84600871,329698.164886
2069.86644052,330140.517258
2069.88687253,330551.55183
2069.90730444,330693.981633
2069.92773634,330926.586691
2069.94816815,331571.856537
2069.96860016,332477.167919
2069.98903207,333676.00179
2070.00946387,335074.596639
2070.02989588,
2070.05032778,336579.820901
2070.07075979,336942.633516
2070.09119159,337474.059484
2070.1116235,338106.719962
2070.1320555,339314.263175
2070.15248731,339869.902097
2070.17291921,340776.887004
2070.19335121,341865.738827
2070.21378302,342323.492273
2070.23421492,342604.865393
2070.25464692,342908.596738
2070.27507872,342985.535174
2070.29551062,343066.415863
2070.31594263,342752.057335
2070.33637443,341954.220741
2070.35680633,341049.913004
2070.37723833,339918.141702
2070.39767023,339196.947185
2070.41810203,338396.327783
2070.43853403,336802.981823
2070.45896593,334809.508217
2070.47939772,332594.728383
2070.49982972,329918.765423
2070.52026162,327465.579846
2070.54069362,324880.884367
2070.56112541,322447.482603
2070.58155721,320711.835116
2070.60198921,318814.760269
2070.6224211,317067.108894
2070.6428529,315525.770596
2070.6632849,314259.672468
2070.68371679,312827.918162
2070.70414859,311043.111073
2070.72458058,309060.057167
2070.74501247,306745.754037
2070.76544437,304477.701597
2070.78587626,302644.156926
2070.80630816,301632.234672
2070.82674005,301334.86281
2070.84717194,301665.912889
2070.86760383,303382.924342
2070.88803572,303832.033333
2070.90846772,303968.283616
2070.92889951,303838.453841
2070.9493315,304088.654575
2070.96976339,303434.533011
2070.99019518,302185.856494
2071.01062717,300441.494716
2071.03105906,299532.440576
2071.05149085,299729.360406
2071.07192284,300244.606742
2071.09235472,301554.094312
2071.11278651,302720.894628
2071.1332185,303203.451246
2071.15365039,303805.607781
2071.17408218,304837.452768
2071.19451416,305154.394081
2071.21494605,306574.290017
2071.23537794,308476.007485
2071.25580982,308889.95048
2071.27624171,308924.236395
2071.29667359,308537.495393
2071.31710548,307124.304872
2071.33753736,305707.871993
2071.35796925,303627.334111
2071.37840113,304982.719105
2071.39883301,303897.996343
2071.419265,300743.532879
2071.43969678,298745.970742
2071.46012866,296585.987978
2071.48056064,294616.113469
2071.50099243,293294.124923
2071.52142431,292252.743954
2071.54185629,291403.835053
2071.56228807,291492.726769
2071.58271995,291831.843624
2071.60315193,291495.596107
2071.62358371,290245.381234
2071.64401559,287509.006556
2071.66444757,283778.27769
2071.68487935,278939.803078
2071.70531123,274798.449698
2071.72574321,270645.895003
2071.74617508,267061.544825
2071.76660696,265013.945288
2071.78703884,263573.118318
2071.80747072,262990.483313
2071.82790259,262566.678916
2071.84833447,262281.114146
2071.86876635,262473.902085
2071.88919832,263346.75471
2071.9096301,263780.579134
2071.93006197,264687.872485
2071.95049395,265159.751062
2071.97092572,264769.575909
2071.9913576,
2072.01178957,267003.156768
2072.03222134,268225.689839
2072.05265322,269212.675423
2072.07308509,269329.99996
2072.09351696,270879.190389
2072.11394883,274476.553369
2072.1343807,277664.461433
2072.15481258,281317.864344
2072.17524445,287212.222756
2072.19567632,294242.240344
2072.21610819,300089.514872
2072.23654016,305139.757148
2072.25697203,308853.660301
2072.2774038,310851.345416
2072.29783577,311179.263508
2072.31826764,311390.21364
2072.33869941,311073.56448
2072.35913137,309851.26662
2072.37956324,307718.284182
2072.39999501,302756.200185
2072.42042698,294899.9469
2072.44085884,286355.723176
2072.46129061,277197.51603
2072.48172258,269498.381262
2072.50215444,263566.466884
2072.52258621,258863.678795
2072.54301817,254142.839872
2072.56345004,248874.47462
2072.5838819,265729.421364
2072.60431377,312940.793979
2072.62474563,340211.101081
2072.6451776,339943.922718
2072.66560936,337907.224161
2072.68604122,333825.334294
2072.70647319,329403.467889
2072.72690505,331625.647746
2072.74733681,337978.094636
2072.76776877,344123.622366
2072.78820064,348742.149068
2072.8086324,349227.667216
2072.82906436,349296.508719
2072.84949612,349434.990057
2072.86992798,349768.526993
2072.89035994,350114.356678
2072.9107917,350451.860752
2072.93122356,350695.320803
2072.95165552,350927.928005
2072.97208728,351093.872057
2072.99251913,351269.975516
2073.01295109,351463.689265
2073.03338285,351936.667604
2073.05381481,351978.965206
2073.07424667,351922.715894
2073.09467852,352006.056403
2073.11511038,352038.590071
2073.13554224,352033.490953
2073.15597409,352001.451506
2073.17640595,352003.697295
2073.1968378,351878.044221
2073.21726966,351807.281117
2073.23770161,351542.094155
2073.25813337,351340.556397
2073.27856522,351156.115001
2073.29899717,350941.943518
2073.31942893,350782.78989
2073.33986078,350557.709649
2073.36029273,350566.345138
2073.38072449,350229.476523
2073.40115634,349969.911791
2073.42158819,349803.713743
2073.44202004,349678.235159
2073.46245199,349441.35153
2073.48288374,349376.847775
2073.5033156,349176.158996
2073.52374755,348942.675372
2073.5441793,348793.407524
2073.56461115,348647.516078
2073.58504309,348407.751653
2073.60547494,348412.399772
2073.62590669,348073.175977
2073.64633864,347674.368929
2073.66677049,347516.51299
2073.68720224,346824.060253
2073.70763418,346353.887944
2073.72806603,345917.102595
2073.74849778,345425.548792
2073.76892973,344856.554379
2073.78936157,344389.66898
2073.80979332,343954.021153
2073.83022526,343519.622603
2073.85065711,343037.896616
2073.87108905,342772.749796
2073.8915208,342388.619442
2073.91195264,342156.630662
2073.93238459,342043.730138
2073.95281633,
2073.97324818,340885.68896
2073.99368012,340513.898819
2074.01411186,340171.633678
2074.0345437,339783.576316
2074.05497565,339342.476954
2074.07540749,339125.856111
2074.09583923,339088.572749
2074.11627117,338684.595788
2074.13670291,338297.721998
2074.15713475,337943.598182
2074.1775667,337554.014429
2074.19799844,337602.977962
2074.21843028,337277.523364
2074.23886221,337026.396867
2074.25929395,336848.718874
2074.27972579,336691.539227
2074.30015773,336608.384661
2074.32058947,336423.14925
2074.34102141,336340.233839
