,EPIC317
2060.28422297,56883.1707387
2060.30465529,57229.612983
2060.3250875,57295.7693795
2060.34551961,57243.4106247
2060.36595193,57202.754894
2060.38638414,57254.5959552
2060.40681635,57267.2163732
2060.42724856,57301.5736991
2060.44768077,57366.0839187
2060.46811298,57390.0705784
2060.48854519,57543.1416674
2060.5089774,57657.3899504
2060.52940961,57748.9849966
2060.54984182,57865.3021245
2060.57027402,57971.3802942
2060.59070633,58011.0901538
2060.61113844,58049.9798229
2060.63157064,58149.7236283
2060.65200295,58227.9073955
2060.67243506,58209.836897
2060.69286736,58399.3285433
2060.71329957,58503.7010508
2060.73373167,58417.9968382
2060.75416397,58387.279353
2060.77459618,58404.8111711
2060.79502828,58429.3721524
2060.81546058,58395.130368
2060.83589278,58488.0148936
2060.85632489,58466.2840349
2060.87675719,58466.4842717
2060.89718939,58433.8804075
2060.91762169,58439.2056369
2060.93805379,58552.9170091
2060.95848598,58570.0545929
2060.97891828,58549.4372569
2060.99935038,58433.4771697
2061.01978258,58454.8360766
2061.04021488,58482.9179843
2061.06064707,58460.1274502
2061.08107917,58478.43035
2061.10151147,58538.4186151
2061.12194356,58483.2838615
2061.14237586,58575.1224627
2061.16280805,58634.4332019
2061.18324014,58499.8150374
2061.20367244,58526.5677117
2061.22410463,58516.2725504
2061.24453672,58611.5978285
2061.26496902,58599.7832744
2061.28540121,66171.056552
2061.3058333,88647.3950748
2061.32626559,88614.0531762
2061.34669778,88612.7118544
2061.36712987,88522.9435962
2061.38756216,88340.0137407
2061.40799435,88228.4285458
2061.42842664,88288.7359899
2061.44885872,87234.4816431
2061.46929091,88570.5190189
2061.4897232,88581.3358544
2061.51015529,88648.3258684
2061.53058747,88643.7108278
2061.55101976,88654.3409849
2061.57145194,88483.8233599
2061.59188403,88145.1843127
2061.61231631,87779.6526547
2061.6327485,87527.0791199
2061.65318058,87402.4642304
2061.67361286,87177.8169452
2061.69404504,86559.7455576
2061.71447723,86054.2401591
2061.73490941,85528.923105
2061.75534159,84866.7675287
2061.77577377,84083.7611487
2061.79620595,83610.4996246
2061.81663813,83736.7352014
2061.83707031,83907.3739465
2061.85750249,84224.8123825
2061.87793457,84884.2818139
2061.89836685,85527.6160376
2061.91879902,86015.1458309
2061.9392312,86572.380463
2061.95966338,87025.339007
2061.98009555,87342.9694671
2062.00052783,87659.0894004
2062.0209599,87999.6162651
2062.04139208,88307.1319089
2062.06182435,88596.4689339
2062.08225643,88812.3457587
2062.1026886,88902.4889786
2062.12312087,88944.2639832
2062.14355305,88944.0602666
2062.16398512,88906.5770907
2062.18441739,
2062.20484956,88874.0518521
2062.22528163,88901.9745815
2062.2457139,88916.2724367
2062.26614607,88939.792781
2062.28657814,88935.1092147
2062.30701041,88920.8898814
2062.32744258,88942.4546653
2062.34787485,88887.892378
2062.36830691,88850.4246366
2062.38873908,88859.3580426
2062.40917135,88824.0351515
2062.42960341,88863.9210775
2062.45003558,88787.6412978
2062.47046775,88781.8205421
2062.49089991,88800.9991172
2062.51133207,88842.6823877
2062.53176424,88845.2307856
2062.5521964,88865.3140025
2062.57262857,88951.2984245
2062.59306073,89025.9118607
2062.61349289,89055.6339882
2062.63392505,89043.2235524
2062.65435731,89033.5888793
2062.67478937,89043.8515916
2062.69522163,89156.4290443
2062.71565379,89154.2395653
2062.73608585,89113.2659604
2062.75651811,89074.7830138
2062.77695027,89015.2878833
2062.79738233,88922.2503437
2062.81781459,88872.2876432
2062.83824675,88805.621545
2062.8586788,88774.7933713
2062.87911106,88828.5148937
2062.89954321,89233.0339949
2062.91997527,88859.2227599
2062.94040752,88676.8589671
2062.96083968,88606.745467
2062.98127183,88532.5286013
2063.00170399,88489.1498959
2063.02213614,88384.5542379
2063.04256829,88362.4446838
2063.06300045,88408.5520959
2063.0834326,88415.8748192
2063.10386485,88443.8841431
2063.124297,88424.2323592
2063.14472905,88423.4814931
2063.1651613,88482.882079
2063.18559345,88475.3441254
2063.2060255,88426.312154
2063.22645775,88375.9811917
2063.2468898,88388.5854789
2063.26732194,88297.8306458
2063.28775419,88238.336005
2063.30818624,88215.8228978
2063.32861839,88304.5995658
2063.34905063,88197.4627944
2063.36948268,88135.4067177
2063.38991482,88084.1075175
2063.41034707,88052.3156151
2063.43077911,88115.3588303
2063.45121126,88141.5188331
2063.4716435,88092.3228202
2063.49207564,88120.6672917
2063.51250778,88089.7145966
2063.53293993,88031.2063284
2063.55337207,87921.7590465
2063.57380421,87869.6959331
2063.59423635,87865.0632887
2063.61466849,87742.6714099
2063.63510073,87721.3901816
2063.65553277,87556.9377553
2063.67596491,87469.3507222
2063.69639715,87377.3407475
2063.71682919,87284.9255018
2063.73726132,87181.360146
2063.75769356,87104.2666655
2063.7781256,87038.2362547
2063.79855773,86959.8619966
2063.81898997,86859.6995992
2063.83942201,86765.8038256
2063.85985414,86823.0841468
2063.88028638,86822.9706775
